Tabelle: 61241-0002
Producer price index for industrial products: Germany,;;;;
months;;;;
Index of producer prices of industrial products;;;;;;;
Germany;;;;;;;
;;Producer price index for industrial products;Producer price index for industrial products;Change on previous month;Change on previous month;Change on previous year's month;Change on previous year's month
;;2021=100;2021=100;in (%);in (%);in (%);in (%)
1999;November;68.3;e;-;;0.9;e
1999;December;68.4;e;0.1;e;1.2;e
2000;January;68.7;e;0.4;e;2.1;e
2000;February;68.7;e;-;;2.2;e
2000;March;68.8;e;0.1;e;2.4;e
2000;April;69.1;e;0.4;e;2.2;e
2000;May;69.3;e;0.3;e;2.5;e
2000;June;69.6;e;0.4;e;2.8;e
2000;July;70.0;e;0.6;e;3.1;e
2000;August;70.2;e;0.3;e;3.2;e
2000;September;70.8;e;0.9;e;4.0;e
2000;October;71.1;e;0.4;e;4.1;e
2000;November;71.2;e;0.1;e;4.2;e
2000;December;71.1;e;-0.1;e;3.9;e
2001;January;71.6;e;0.7;e;4.2;e
2001;February;71.8;e;0.3;e;4.5;e
2001;March;72.0;e;0.3;e;4.7;e
2001;April;72.4;e;0.6;e;4.8;e
2001;May;72.6;e;0.3;e;4.8;e
2001;June;72.7;e;0.1;e;4.5;e
2001;July;72.2;e;-0.7;e;3.1;e
2001;August;72.1;e;-0.1;e;2.7;e
2001;September;72.2;e;0.1;e;2.0;e
2001;October;71.5;e;-1.0;e;0.6;e
2001;November;71.2;e;-0.4;e;-;
2001;December;71.2;e;-;;0.1;e
2002;January;71.4;e;0.3;e;-0.3;e
2002;February;71.4;e;-;;-0.6;e
2002;March;71.8;e;0.6;e;-0.3;e
2002;April;71.6;e;-0.3;e;-1.1;e
2002;May;71.6;e;-;;-1.4;e
2002;June;71.6;e;-;;-1.5;e
2002;July;71.4;e;-0.3;e;-1.1;e
2002;August;71.3;e;-0.1;e;-1.1;e
2002;September;71.4;e;0.1;e;-1.1;e
2002;October;71.6;e;0.3;e;0.1;e
2002;November;71.4;e;-0.3;e;0.3;e
2002;December;71.5;e;0.1;e;0.4;e
2003;January;72.6;e;1.5;e;1.7;e
2003;February;72.8;e;0.3;e;2.0;e
2003;March;72.9;e;0.1;e;1.5;e
2003;April;72.8;e;-0.1;e;1.7;e
2003;May;72.7;e;-0.1;e;1.5;e
2003;June;72.7;e;-;;1.5;e
2003;July;72.7;e;-;;1.8;e
2003;August;72.7;e;-;;2.0;e
2003;September;72.8;e;0.1;e;2.0;e
2003;October;72.8;e;-;;1.7;e
2003;November;72.8;e;-;;2.0;e
2003;December;72.8;e;-;;1.8;e
2004;January;72.7;e;-0.1;e;0.1;e
2004;February;72.7;e;-;;-0.1;e
2004;March;73.2;e;0.7;e;0.4;e
2004;April;73.4;e;0.3;e;0.8;e
2004;May;73.7;e;0.4;e;1.4;e
2004;June;73.6;e;-0.1;e;1.2;e
2004;July;74.1;e;0.7;e;1.9;e
2004;August;74.4;e;0.4;e;2.3;e
2004;September;74.4;e;-;;2.2;e
2004;October;75.2;e;1.1;e;3.3;e
2004;November;74.9;e;-0.4;e;2.9;e
2004;December;74.9;e;-;;2.9;e
2005;January;75.6;e;0.9;e;4.0;e
2005;February;75.7;e;0.1;e;4.1;e
2005;March;76.2;e;0.7;e;4.1;e
2005;April;76.6;e;0.5;e;4.4;e
2005;May;76.6;e;-;;3.9;e
2005;June;77.0;e;0.5;e;4.6;e
2005;July;77.5;e;0.6;e;4.6;e
2005;August;77.7;e;0.3;e;4.4;e
2005;September;77.9;e;0.3;e;4.7;e
2005;October;78.4;e;0.6;e;4.3;e
2005;November;78.3;e;-0.1;e;4.5;e
2005;December;78.5;e;0.3;e;4.8;e
2006;January;79.7;e;1.5;e;5.4;e
2006;February;80.2;e;0.6;e;5.9;e
2006;March;80.6;e;0.5;e;5.8;e
2006;April;81.3;e;0.9;e;6.1;e
2006;May;81.4;e;0.1;e;6.3;e
2006;June;81.4;e;-;;5.7;e
2006;July;82.0;e;0.7;e;5.8;e
2006;August;82.2;e;0.2;e;5.8;e
2006;September;81.9;e;-0.4;e;5.1;e
2006;October;81.9;e;-;;4.5;e
2006;November;81.8;e;-0.1;e;4.5;e
2006;December;81.9;e;0.1;e;4.3;e
2007;January;81.9;e;-;;2.8;e
2007;February;81.9;e;-;;2.1;e
2007;March;81.9;e;-;;1.6;e
2007;April;82.0;e;0.1;e;0.9;e
2007;May;82.3;e;0.4;e;1.1;e
2007;June;82.4;e;0.1;e;1.2;e
2007;July;82.4;e;-;;0.5;e
2007;August;82.4;e;-;;0.2;e
2007;September;82.4;e;-;;0.6;e
2007;October;82.8;e;0.5;e;1.1;e
2007;November;83.5;e;0.8;e;2.1;e
2007;December;83.4;e;-0.1;e;1.8;e
2008;January;84.1;e;0.8;e;2.7;e
2008;February;84.5;e;0.5;e;3.2;e
2008;March;85.0;e;0.6;e;3.8;e
2008;April;85.8;e;0.9;e;4.6;e
2008;May;86.6;e;0.9;e;5.2;e
2008;June;87.4;e;0.9;e;6.1;e
2008;July;89.2;e;2.1;e;8.3;e
2008;August;88.6;e;-0.7;e;7.5;e
2008;September;88.9;e;0.3;e;7.9;e
2008;October;88.9;e;-;;7.4;e
2008;November;87.4;e;-1.7;e;4.7;e
2008;December;86.8;e;-0.7;e;4.1;e
2009;January;85.7;e;-1.3;e;1.9;e
2009;February;85.2;e;-0.6;e;0.8;e
2009;March;84.7;e;-0.6;e;-0.4;e
2009;April;83.5;e;-1.4;e;-2.7;e
2009;May;83.5;e;-;;-3.6;e
2009;June;83.4;e;-0.1;e;-4.6;e
2009;July;82.2;e;-1.4;e;-7.8;e
2009;August;82.5;e;0.4;e;-6.9;e
2009;September;82.2;e;-0.4;e;-7.5;e
2009;October;82.2;e;-;;-7.5;e
2009;November;82.3;e;0.1;e;-5.8;e
2009;December;82.2;e;-0.1;e;-5.3;e
2010;January;82.8;e;0.7;e;-3.4;e
2010;February;82.7;e;-0.1;e;-2.9;e
2010;March;83.1;e;0.5;e;-1.9;e
2010;April;83.9;e;1.0;e;0.5;e
2010;May;84.3;e;0.5;e;1.0;e
2010;June;84.8;e;0.6;e;1.7;e
2010;July;85.1;e;0.4;e;3.5;e
2010;August;85.0;e;-0.1;e;3.0;e
2010;September;85.3;e;0.4;e;3.8;e
2010;October;85.6;e;0.4;e;4.1;e
2010;November;85.7;e;0.1;e;4.1;e
2010;December;86.3;e;0.7;e;5.0;e
2011;January;87.2;e;1.0;e;5.3;e
2011;February;87.8;e;0.7;e;6.2;e
2011;March;88.3;e;0.6;e;6.3;e
2011;April;89.1;e;0.9;e;6.2;e
2011;May;89.1;e;-;;5.7;e
2011;June;89.2;e;0.1;e;5.2;e
2011;July;89.6;e;0.4;e;5.3;e
2011;August;89.4;e;-0.2;e;5.2;e
2011;September;89.6;e;0.2;e;5.0;e
2011;October;89.8;e;0.2;e;4.9;e
2011;November;89.7;e;-0.1;e;4.7;e
2011;December;89.3;e;-0.4;e;3.5;e
2012;January;89.7;e;0.4;e;2.9;e
2012;February;90.0;e;0.3;e;2.5;e
2012;March;90.6;e;0.7;e;2.6;e
2012;April;90.8;e;0.2;e;1.9;e
2012;May;90.5;e;-0.3;e;1.6;e
2012;June;90.1;e;-0.4;e;1.0;e
2012;July;90.1;e;-;;0.6;e
2012;August;90.5;e;0.4;e;1.2;e
2012;September;90.8;e;0.3;e;1.3;e
2012;October;90.8;e;-;;1.1;e
2012;November;90.8;e;-;;1.2;e
2012;December;90.6;e;-0.2;e;1.5;e
2013;January;91.1;e;0.6;e;1.6;e
2013;February;90.9;e;-0.2;e;1.0;e
2013;March;90.7;e;-0.2;e;0.1;e
2013;April;90.6;e;-0.1;e;-0.2;e
2013;May;90.3;e;-0.3;e;-0.2;e
2013;June;90.2;e;-0.1;e;0.1;e
2013;July;90.1;e;-0.1;e;-;
2013;August;90.0;e;-0.1;e;-0.6;e
2013;September;90.3;e;0.3;e;-0.6;e
2013;October;90.1;e;-0.2;e;-0.8;e
2013;November;90.0;e;-0.1;e;-0.9;e
2013;December;90.1;e;0.1;e;-0.6;e
2014;January;90.0;e;-0.1;e;-1.2;e
2014;February;90.0;e;-;;-1.0;e
2014;March;89.8;e;-0.2;e;-1.0;e
2014;April;89.7;e;-0.1;e;-1.0;e
2014;May;89.5;e;-0.2;e;-0.9;e
2014;June;89.5;e;-;;-0.8;e
2014;July;89.4;e;-0.1;e;-0.8;e
2014;August;89.3;e;-0.1;e;-0.8;e
2014;September;89.3;e;-;;-1.1;e
2014;October;89.3;e;-;;-0.9;e
2014;November;89.3;e;-;;-0.8;e
2014;December;88.6;e;-0.8;e;-1.7;e
2015;January;88.1;e;-0.6;e;-2.1;e
2015;February;88.2;e;0.1;e;-2.0;e
2015;March;88.3;e;0.1;e;-1.7;e
2015;April;88.4;e;0.1;e;-1.4;e
2015;May;88.4;e;-;;-1.2;e
2015;June;88.3;e;-0.1;e;-1.3;e
2015;July;88.3;e;-;;-1.2;e
2015;August;87.9;e;-0.5;e;-1.6;e
2015;September;87.6;e;-0.3;e;-1.9;e
2015;October;87.2;e;-0.5;e;-2.4;e
2015;November;87.0;e;-0.2;e;-2.6;e
2015;December;86.6;e;-0.5;e;-2.3;e
2016;January;86.1;e;-0.6;e;-2.3;e
2016;February;85.7;e;-0.5;e;-2.8;e
2016;March;85.7;e;-;;-2.9;e
2016;April;85.8;e;0.1;e;-2.9;e
2016;May;86.2;e;0.5;e;-2.5;e
2016;June;86.4;e;0.2;e;-2.2;e
2016;July;86.6;e;0.2;e;-1.9;e
2016;August;86.5;e;-0.1;e;-1.6;e
2016;September;86.4;e;-0.1;e;-1.4;e
2016;October;86.8;e;0.5;e;-0.5;e
2016;November;87.1;e;0.3;e;0.1;e
2016;December;87.5;e;0.5;e;1.0;e
2017;January;88.1;e;0.7;e;2.3;e
2017;February;88.3;e;0.2;e;3.0;e
2017;March;88.4;e;0.1;e;3.2;e
2017;April;88.6;e;0.2;e;3.3;e
2017;May;88.6;e;-;;2.8;e
2017;June;88.6;e;-;;2.5;e
2017;July;88.7;e;0.1;e;2.4;e
2017;August;88.8;e;0.1;e;2.7;e
2017;September;89.2;e;0.5;e;3.2;e
2017;October;89.3;e;0.1;e;2.9;e
2017;November;89.3;e;-;;2.5;e
2017;December;89.5;e;0.2;e;2.3;e
2018;January;90.0;e;0.6;e;2.2;e
2018;February;89.9;e;-0.1;e;1.8;e
2018;March;90.0;e;0.1;e;1.8;e
2018;April;90.3;e;0.3;e;1.9;e
2018;May;90.8;e;0.6;e;2.5;e
2018;June;91.1;e;0.3;e;2.8;e
2018;July;91.3;e;0.2;e;2.9;e
2018;August;91.5;e;0.2;e;3.0;e
2018;September;92.0;e;0.5;e;3.1;e
