date,world_oil_price,world_prod,world_inv,world_ip,ip_de,import_price_de,ppi_de,cpi_de
2000-04,-201.60739808634145,1112.3361117059992,767.082133950645,446.496606586676,442.72389774954297,441.6428061391214,423.5554730773624,431.88205587700895
2000-05,-181.99570488209554,1113.0892419195127,766.4374741068357,446.9991723402526,445.4347296253507,443.3194921248282,423.8444906195857,431.88205587700895
2000-06,-175.41481984822713,1112.785295714877,766.9449901782837,447.0991155119759,442.36483093647007,443.3194921248282,424.2764567340374,432.280727501391
2000-07,-179.5355969421213,1113.6995760771617,767.2161499090914,447.4602169652214,444.500143383527,443.7934266612178,424.84952420493596,432.80982926483256
2000-08,-174.3714060771809,1114.8965190194824,767.3919825763294,447.9440962840922,445.0852825603734,444.7346100794524,425.13483110317657,432.5456283185487
2000-09,-165.60127902278327,1114.91027507627,767.5056462885638,447.7214875225736,445.20190064939163,446.59081186545836,425.9859000699674,432.80982926483256
2000-10,-172.57843726387114,1115.5477079145276,766.9046282318757,448.0524229270225,444.61744544976335,447.04952826614897,426.40873368091945,432.6778160443404
2000-11,-167.7426695763824,1116.3386570188009,767.2317444791212,448.4156462274478,445.0852825603734,447.3921899378137,426.549281841793,432.80982926483256
2000-12,-191.75642842180116,1114.533227618639,768.2224092697049,448.77248308112365,445.7829598089382,445.55094114336845,426.40873368091945,433.59826961724747
2001-01,-192.4835384732428,1114.4154515578405,766.7019390269561,447.41898224345186,444.9685283147696,444.8516375942715,427.10950739666,433.3361462692601
2001-02,-185.6297990365626,1113.7355267661342,765.0409910376825,448.2473372475064,446.8204330914934,445.20190064939163,427.3884476054178,433.8597076746545
2001-03,-197.2378897951479,1114.6953004191741,766.9674450977606,447.3131164937229,444.61744544976335,445.0852825603734,427.6666119016055,433.8597076746545
2001-04,-192.7820784385201,1113.3408619817847,768.1109306698933,446.87169288719485,442.96256134731607,445.55094114336845,428.2206299391671,434.25058765115983
2001-05,-183.46281139563547,1112.331313494063,767.3563004806834,446.85128842248963,444.61744544976335,446.47580322713463,428.496492183075,434.63994570307307
2001-06,-185.3263768787313,1110.0031581713515,765.256707343451,446.6076840052512,444.500143383527,446.47580322713463,428.63413845394734,434.7693955593376
